dataset,model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_folds
wesad,logistic_regression,0.8650278797769617,0.0786096041796841,0.8542372129338798,0.0868535128429649,5
wesad,random_forest,0.7684278525771794,0.08317317193141549,0.7382877566259283,0.08067188691243701,5
swell,logistic_regression,0.9512429158997765,0.009116581101698938,0.9460928239544089,0.009494513890637477,5
swell,random_forest,0.9885418209892842,0.006451799676124574,0.986879318217096,0.007511770771113557,5
combined,logistic_regression,0.9312465792152527,0.026103630423673425,0.9277372609858711,0.029311391133471622,5
combined,random_forest,0.9447282985104684,0.03330133918741973,0.9409389123164285,0.03726984407211831,5
